bl_number,service_order_id,service_order_type,vendor_name,requested_date,defect_count,defect_code,milestone_id,milestone_description,milestone_date,notes,sort_order
608270357,000bbc8c-f133-44df-b0e6-3d6b96556ae7,CLR,"AL WARED AL BAHRI",2021-05-20,0,D01,a39745f0-60bf-4e4e-a250-d2a292fbd9d1,"Docs received date",2021-05-20,RECEIVED,10
608270357,000bbc8c-f133-44df-b0e6-3d6b96556ae7,CLR,"AL WARED AL BAHRI",2021-05-20,0,D01,c77f8722-aa71-4c41-860c-33f261b7f9ce,"D/O collection date",2021-05-31,RECEIVED,20
608270357,000bbc8c-f133-44df-b0e6-3d6b96556ae7,CLR,"AL WARED AL BAHRI",2021-05-20,0,D01,4ab3cf6c-7ab0-466f-84e1-e6aac75b5745,"Customs file submission date",2021-06-02,RECEIVED,30
608270357,000bbc8c-f133-44df-b0e6-3d6b96556ae7,CLR,"AL WARED AL BAHRI",2021-05-20,0,D01,a9cdef38-c33e-4957-933e-090560609cc2,"Ready for duty payment (Date)",2021-06-02,RECEIVED,40
608270357,000bbc8c-f133-44df-b0e6-3d6b96556ae7,CLR,"AL WARED AL BAHRI",2021-05-20,0,D01,10d5e9e7-2432-4462-baee-30fe0b835eb1,"Duty payment/Final bayan date ",2021-06-02,RECEIVED,50
608270357,000bbc8c-f133-44df-b0e6-3d6b96556ae7,CLR,"AL WARED AL BAHRI",2021-05-20,0,D01,33d9b9fc-3815-4837-91dc-b45b928f1d6c,"Shipment ready or on-hold",0000-00-00,,60
608270357,000bbc8c-f133-44df-b0e6-3d6b96556ae7,CLR,"AL WARED AL BAHRI",2021-05-20,0,D01,8d3535f4-1efe-4b81-a6ca-ecea48256e69,"Shipment cleared date",0000-00-00,,70
912448582,00386432-0be0-4a16-aead-06a69c63099f,CLR,"AL WARED AL BAHRI",2021-05-31,0,D01,8a232012-a268-4c3f-8249-0b18bc9a3210,"Docs received date",0000-00-00,,10
912448582,00386432-0be0-4a16-aead-06a69c63099f,CLR,"AL WARED AL BAHRI",2021-05-31,0,D01,21450560-1b44-4c56-a63c-d83334cb5d95,"Manifest received date",0000-00-00,,20
912448582,00386432-0be0-4a16-aead-06a69c63099f,CLR,"AL WARED AL BAHRI",2021-05-31,0,D01,82f7c9f9-a7c2-4ac5-ba00-b3629d1b5c2f,"Customs file submission date",0000-00-00,,30
912448582,00386432-0be0-4a16-aead-06a69c63099f,CLR,"AL WARED AL BAHRI",2021-05-31,0,D01,9af1b63e-ac62-4fd8-8855-ec4f2e16714c,"Initial Bayan date",0000-00-00,,40
912448582,00386432-0be0-4a16-aead-06a69c63099f,CLR,"AL WARED AL BAHRI",2021-05-31,0,D01,5caa06b4-18a2-42a7-b40e-43b5cb51a8c6,"Final bayan date",0000-00-00,,50
912448582,00386432-0be0-4a16-aead-06a69c63099f,CLR,"AL WARED AL BAHRI",2021-05-31,0,D01,236a34b2-3224-4ec9-91aa-e2fab3285100,"Shipment ready or on-hold",0000-00-00,,60
912448582,00386432-0be0-4a16-aead-06a69c63099f,CLR,"AL WARED AL BAHRI",2021-05-31,0,D01,0d0943c7-05b9-400e-bc25-cd35ae9a6ab9,"Shipment cleared date",0000-00-00,,70
